a.0.9,a.10.19,a.20.29,a30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89
549,536,236,427,563,515,519,242,155
225,306,325,462,528,521,462,231,75
403,430,378,545,593,578,431,182,203
672,607,717,1022,735,636,456,41,82
324,299,272,308,377,580,411,282,113
989,981,251,920,973,674,659,476,294
395,242,149,119,485,453,470,206,265
733,648,144,394,730,583,296,265,155
750,696,415,408,813,727,434,341,376
430,376,191,335,509,543,518,202,206
942,766,810,948,757,803,508,223,229
374,399,248,359,459,720,522,384,158
1587,1059,672,1126,660,210,39,0,0
202,323,104,173,220,322,389,167,69
475,561,563,481,600,654,428,248,244
492,452,501,671,555,747,530,161,56
125,108,481,553,244,330,105,44,0
417,283,222,460,447,485,287,156,87
918,861,610,708,1067,919,569,388,146
232,85,688,1037,413,360,216,61,45
46,74,174,142,162,175,383,397,242
125,103,356,438,397,254,95,35,29
543,146,809,912,376,301,237,96,22
629,568,757,1174,691,379,446,163,0
635,621,502,553,676,678,501,335,161
564,438,713,510,427,677,450,208,97
254,376,356,448,485,446,202,89,54
667,581,742,943,494,666,484,208,85
966,723,546,1314,837,1119,538,227,26
543,255,275,665,394,593,420,294,204
729,792,504,692,949,1049,461,231,89
302,250,194,225,279,282,234,154,137
505,344,437,730,519,530,507,307,103
1756,1087,1409,2195,823,768,799,256,58
1336,1240,786,1533,1133,508,532,193,79
1442,627,680,1433,759,905,388,278,26
1153,676,834,1017,551,593,290,71,42
1107,566,780,461,779,455,435,335,100
788,983,1344,1161,898,899,516,21,13
930,449,764,589,245,59,23,7,0
391,402,432,489,513,490,289,188,467
1458,617,1224,1445,895,1120,687,109,57
1108,1132,1034,1133,1437,807,303,354,24
297,625,334,199,511,628,386,264,108
851,1244,860,963,1177,919,446,129,19
499,245,439,595,412,544,267,161,84
639,527,728,1231,835,919,559,302,166
284,203,640,588,295,393,196,90,26
846,522,740,1261,883,657,328,194,29
435,310,243,500,435,576,332,133,108
478,717,523,339,676,701,711,455,106
273,440,676,384,476,423,367,133,98
609,696,722,641,722,644,460,215,75
513,671,810,671,706,756,587,336,112
330,323,445,323,358,416,239,193,61
1093,1033,557,1018,1073,1007,756,501,271
187,188,273,288,232,250,129,154,91
792,1127,1262,1292,893,819,816,239,228
288,342,385,432,334,468,321,135,80
646,582,358,541,677,766,521,404,176
542,373,477,672,572,640,484,277,121
513,692,443,671,658,612,461,182,48
433,453,500,402,570,498,408,266,57
479,705,619,513,877,658,666,326,66
341,345,245,462,363,282,220,130,44
622,637,313,589,544,784,387,370,119
606,628,455,560,696,632,674,207,154
793,833,372,680,793,768,780,317,145
718,1081,909,810,1021,1038,685,489,1732
488,768,332,678,712,773,395,182,72
363,525,317,413,524,486,318,306,67
291,500,367,248,362,569,477,228,132
590,546,329,525,483,537,362,213,34
465,418,563,469,523,630,459,306,127
242,208,495,378,370,210,191,141,29
697,699,402,720,704,537,577,268,255
645,633,720,681,614,772,827,361,132
278,628,377,387,357,727,616,208,76
570,815,441,677,599,660,699,367,75
700,854,394,654,863,1006,750,359,116
680,767,337,430,859,697,679,326,69
351,289,417,260,364,511,576,250,43
763,502,586,858,480,572,421,211,68
424,320,302,328,312,342,222,108,0
903,1257,524,648,1144,1236,828,410,570
300,69,838,865,504,254,339,32,7
884,481,896,999,664,661,817,254,177
203,448,143,224,354,480,341,318,118
557,840,357,477,657,845,830,428,190
173,2781,2929,461,458,370,370,92,36
428,461,451,367,465,378,356,146,64
259,523,225,233,430,502,445,264,135
830,856,448,625,685,769,743,439,281
492,1057,394,612,833,883,972,445,446
598,367,1015,1103,648,780,402,164,92
536,609,703,844,648,379,366,164,128
821,340,824,758,750,549,560,108,66
331,433,174,387,449,452,376,133,48
286,385,487,427,442,477,300,217,114
497,419,374,675,692,694,476,301,107
600,462,803,871,800,535,348,195,72
392,231,405,445,325,504,368,195,72
764,522,1007,1172,393,384,313,88,129
335,380,386,361,480,575,485,191,254
214,104,238,233,188,288,211,155,70
274,277,175,418,323,444,403,112,232
277,282,158,299,291,327,379,227,82
122,232,141,79,271,250,312,139,98
233,396,211,266,476,445,256,144,83
535,262,534,738,430,206,229,191,124
770,449,549,1119,660,671,562,367,180
752,421,698,843,675,580,541,350,399
1651,816,969,1074,949,292,183,39,58
246,385,499,307,350,341,377,129,40
446,308,551,496,345,599,439,351,148
540,669,861,901,771,679,550,245,183
383,230,476,423,298,446,295,245,289
774,516,704,976,801,679,767,257,92
406,191,531,429,667,506,348,262,311
839,1393,841,970,1099,982,655,331,138
341,405,451,562,456,500,398,171,70
777,832,882,943,771,580,388,53,77
1043,745,955,971,1145,909,639,668,266
389,395,524,506,559,466,593,158,130
1080,486,902,1135,749,728,500,186,17
1118,903,1001,1510,1192,1218,615,398,36
1056,627,621,794,951,504,457,290,112
627,482,619,1262,677,873,652,320,174
129,161,235,467,359,443,533,270,258
569,653,220,289,813,764,517,394,134
531,601,361,357,451,757,648,311,141
421,489,185,209,460,558,261,291,87
716,555,651,573,804,618,752,363,149
322,377,236,157,394,391,415,214,86
830,1212,992,1201,1098,1059,839,206,197
546,589,238,403,651,604,422,177,365
558,405,394,428,553,652,279,141,121
691,726,284,503,774,765,408,316,147
344,524,394,262,409,748,262,196,97
318,446,108,231,405,439,299,132,143
364,439,261,186,397,448,281,109,101
943,1249,451,662,1086,1115,903,607,173
477,813,277,374,528,926,664,425,138
828,759,684,1341,1034,810,596,178,128
804,1008,736,974,1155,1077,627,340,130
1263,813,1225,1657,1375,761,447,338,241
278,232,2084,1689,532,406,211,126,34
768,549,1136,1167,903,794,662,265,74
203,214,195,299,203,189,135,56,41
526,539,920,1107,558,582,775,186,85
419,395,513,655,697,477,514,217,144
357,388,304,411,291,160,109,0,17
249,415,160,80,344,501,413,347,108
312,603,179,163,391,643,460,300,154
670,682,267,355,611,649,761,450,231
796,708,323,419,902,767,726,312,398
251,303,127,196,319,455,465,355,149
726,803,340,499,918,676,544,497,242
337,544,209,175,612,375,305,253,157
991,982,333,428,1322,979,834,452,669
299,261,226,268,399,299,232,156,46
1273,618,826,1195,1214,797,568,253,163
532,224,519,1025,378,242,248,147,102
681,332,886,1282,579,513,467,237,117
722,386,1035,1146,493,436,243,65,47
506,339,882,1063,462,441,431,112,77
225,282,108,247,250,330,175,144,88
474,469,523,678,475,446,503,269,95
429,430,475,439,601,392,378,129,28
345,664,300,141,522,800,665,450,173
461,727,320,288,658,826,726,351,215
405,429,1117,1066,771,513,290,152,147
174,427,191,304,447,315,288,389,216
800,1188,486,472,1048,1202,1027,734,442
542,797,186,282,689,708,531,313,159
620,896,545,306,799,1143,873,416,204
484,526,283,251,531,720,402,110,28
755,715,632,579,709,1061,878,264,152
406,398,392,413,383,704,392,105,24
219,289,216,288,234,322,300,107,0
351,235,584,675,435,492,188,124,15
686,876,598,760,726,842,456,229,69
473,541,449,679,542,604,311,204,34
1189,1007,889,1138,1049,770,765,321,123
515,353,588,846,519,585,533,64,15
724,366,958,770,463,337,310,145,99
1460,678,975,1582,1016,508,311,114,81
384,116,435,682,491,113,158,55,5
578,301,737,886,660,314,106,50,26
876,415,202,781,599,501,123,126,148
627,344,320,789,619,116,122,66,11
642,979,574,484,863,1148,543,195,14
708,872,485,541,755,1041,624,269,118
138,139,75,105,165,229,213,67,16
949,859,1047,903,822,865,520,308,78
1001,626,677,1142,996,893,878,563,396
189,299,157,148,336,402,369,289,64
386,559,224,243,423,607,438,359,43
623,1227,469,464,822,1049,1029,464,109
724,594,682,843,840,596,227,229,81
685,742,1218,651,777,805,849,282,276
650,606,303,540,704,789,839,301,83
352,157,365,413,474,591,527,259,137
559,313,546,488,528,543,336,177,112
327,248,468,491,281,226,224,117,21
299,214,497,920,581,372,445,255,186
357,157,617,856,570,573,625,310,241
601,282,434,665,807,639,635,579,179
788,548,787,932,663,486,258,121,32
311,272,376,656,476,500,457,343,98
332,340,106,156,407,384,317,190,60
1848,1054,1920,2338,1516,803,626,109,15
324,492,257,439,436,525,346,102,20
594,865,430,405,1010,866,541,105,66
528,899,470,376,839,1129,637,232,81
981,1097,761,1024,1219,1287,744,258,0
968,1268,688,521,1547,1172,794,406,184
591,730,726,630,765,959,714,226,202
1129,843,607,881,1001,1009,622,162,101
416,340,689,425,626,443,172,84,36
762,729,729,455,1028,1181,746,475,390
207,365,153,97,231,430,258,56,18
427,683,287,374,452,768,593,124,74
424,431,338,467,454,581,385,199,59
1341,601,785,1258,959,635,503,193,38
997,658,1017,1291,1218,694,498,94,82
120,183,339,410,250,177,120,22,12
946,1423,785,1092,1268,1169,529,175,124
468,357,761,510,430,666,266,68,25
680,483,664,904,748,487,358,164,66
789,469,456,913,1000,851,276,240,33
869,475,651,1013,673,597,291,186,48
472,659,319,359,577,812,461,127,61
386,734,384,515,655,810,278,158,0
339,527,233,200,447,533,465,100,23
951,881,1054,1254,1068,935,780,171,198
605,1373,507,466,1307,1570,819,386,62
907,637,816,778,686,734,363,230,11
803,716,786,760,822,1025,638,270,36
616,276,553,989,517,518,323,123,183
890,762,1962,1422,968,813,471,173,77
405,328,1196,1191,699,606,183,93,0
518,532,1294,888,754,481,279,0,105
434,616,269,438,606,565,306,187,36
267,210,547,608,399,233,208,53,14
426,351,382,521,400,338,341,210,53
897,1033,793,971,1103,1016,649,362,110
598,1065,656,374,893,1293,921,399,461
735,868,418,407,650,1100,1364,471,179
352,399,184,404,314,491,554,252,73
550,1271,579,400,959,1134,1086,472,125
488,603,448,332,379,889,689,129,78
449,673,345,455,521,493,321,171,8
565,532,635,765,780,674,489,129,59
322,599,268,436,381,742,823,372,137
