abroad.born,naturalization,not.citizen,puerto.rico.born,us.born
75,398,108,0,3161
54,167,90,10,2814
130,482,443,17,2671
556,797,1065,201,2349
39,438,76,61,2352
171,609,466,0,4971
27,272,42,9,2434
78,243,24,9,3594
151,272,30,0,4507
60,462,78,0,2710
126,598,1251,13,3998
146,356,62,32,3027
405,111,36,64,4737
27,88,8,6,1840
89,1348,507,32,2278
32,896,365,0,2872
50,158,176,27,1579
58,470,193,9,2114
233,1004,553,37,4359
23,387,514,54,2159
19,249,122,18,1387
37,164,278,6,1347
24,340,486,41,2551
75,453,652,29,3598
154,921,184,6,3397
55,551,709,20,2749
74,600,305,0,1731
74,994,757,53,2992
281,1116,564,54,4281
127,653,169,8,2686
155,691,344,82,4224
44,78,73,5,1857
60,532,322,23,3045
129,1093,3060,353,4516
29,1184,2331,0,3796
66,1382,1959,42,3089
49,965,1615,7,2591
234,775,770,9,3230
84,1399,680,0,4460
116,152,95,26,2677
68,640,305,11,2637
50,1435,965,80,5082
23,1638,1439,0,4232
85,1068,142,11,2046
310,1946,520,0,3832
81,707,274,20,2164
187,1078,429,19,4193
77,327,237,21,2053
69,788,433,10,4160
67,483,208,30,2284
183,523,235,21,3744
79,697,233,12,2249
58,893,472,93,3268
157,711,289,31,3974
54,482,138,8,2006
69,1331,632,125,5152
28,386,57,0,1321
100,1693,2646,29,3000
68,787,331,20,1579
84,627,410,38,3512
73,555,254,56,3220
122,1097,591,43,2427
107,799,418,13,2250
145,1089,500,58,3117
35,655,345,6,1391
128,743,213,0,3281
217,833,249,0,3313
286,713,192,51,4239
101,2013,868,57,5444
91,713,709,20,2867
134,523,225,11,2426
42,539,71,0,2522
102,574,316,23,2604
113,702,159,8,2978
124,237,434,25,1444
234,796,372,0,3457
106,824,404,50,4001
92,492,183,15,2872
199,466,173,43,4022
229,645,285,14,4523
108,780,172,84,3700
91,376,228,0,2366
93,889,686,13,2780
55,536,183,0,1584
328,995,918,20,5259
46,633,466,0,2063
54,950,1219,11,3599
34,423,46,5,2121
191,835,431,25,3699
208,484,664,13,6301
36,543,412,23,2102
49,471,185,0,2311
142,754,333,31,4416
159,1044,492,72,4367
45,664,1517,21,2922
0,654,1053,31,2639
100,921,645,13,3097
131,461,173,47,1971
102,763,654,0,1616
54,803,645,8,2725
51,821,1451,18,2345
66,852,292,8,1719
83,935,1806,23,1925
55,783,486,15,2108
43,373,70,10,1205
38,497,110,0,2013
27,425,215,0,1655
25,224,153,15,1227
106,377,215,44,1768
43,514,1284,11,1397
34,1626,969,0,2698
20,1009,1413,17,2800
102,549,2852,46,2482
72,842,627,7,1126
75,753,662,5,2188
148,805,968,89,3389
83,695,384,0,1923
37,1346,1423,0,2760
67,1181,404,12,1987
143,1832,2480,31,2762
48,916,987,15,1388
122,914,1968,0,2299
74,1610,1367,29,4261
113,917,327,21,2342
47,1554,2008,34,2140
145,1535,1696,21,4594
76,1184,1150,18,2984
91,1445,1780,20,2350
113,994,449,40,1259
63,879,322,8,3081
116,600,178,0,3264
48,352,120,6,2435
187,1008,606,8,3372
39,637,331,6,1579
161,1257,1850,51,4315
56,635,93,0,3211
52,753,667,46,2013
79,578,174,9,3774
85,328,158,0,2665
62,388,116,11,1944
110,302,88,6,2080
236,918,693,48,5294
86,572,135,0,3829
152,1387,1663,0,3156
134,1448,765,51,4453
147,1406,2435,0,4132
82,877,1462,73,3098
158,1342,1518,0,3300
0,259,216,7,1053
149,1189,483,54,3403
72,971,1078,0,1910
10,334,773,21,899
64,363,228,0,1962
117,339,179,0,2570
105,542,273,19,3737
193,833,471,0,3854
39,484,290,3,1804
138,810,623,21,3653
72,428,529,0,1938
143,697,468,19,5663
19,307,222,0,1638
139,1237,1180,0,4351
80,528,1219,17,1573
143,894,1285,0,2772
75,759,1690,15,2034
28,538,1507,0,2240
28,254,58,0,1509
73,651,502,0,2706
57,783,728,0,1733
169,585,258,9,3039
158,904,278,0,3232
148,977,1269,31,2465
55,695,635,0,1366
182,1734,406,29,5048
50,784,284,31,3058
88,1140,335,0,4239
41,406,166,17,2705
212,669,200,0,4664
18,525,82,12,2580
29,209,126,13,1598
54,262,294,0,2489
88,729,1228,36,3161
125,459,732,7,2514
138,1029,2170,70,3844
80,860,1177,20,1881
154,327,1792,34,1865
40,993,2505,16,3171
38,250,891,0,1260
33,576,874,0,2175
51,766,961,8,1985
111,502,914,0,1487
135,1266,392,9,3640
94,601,406,0,4312
22,148,85,0,892
103,1360,1236,12,3640
152,819,312,0,5889
71,265,16,13,1888
65,346,53,9,2809
136,838,145,32,5105
143,601,995,9,3068
255,682,274,141,4933
90,662,122,46,3895
98,337,167,22,2651
125,522,562,15,2378
36,328,509,0,1530
87,517,482,24,2659
45,635,238,0,3388
77,779,335,12,3618
84,1013,916,70,2532
41,256,106,8,3078
56,265,73,0,1898
141,1871,2860,99,5258
126,472,384,0,1959
81,912,532,18,3339
109,963,231,0,3888
57,1630,574,0,5110
79,1877,448,9,5135
174,973,600,27,3769
142,864,1158,32,4159
132,635,528,0,1936
96,1556,486,0,4357
5,221,36,0,1553
133,405,199,0,3045
121,515,285,12,2405
114,1002,934,30,4233
124,1422,775,0,4228
63,318,324,5,923
62,1645,1520,13,4271
92,604,709,0,2146
42,1165,1346,15,1986
78,871,895,11,3172
86,1254,1075,36,2352
106,510,162,20,3049
32,780,605,0,2503
78,404,49,0,2336
73,2339,1484,56,3340
43,1461,449,23,5119
100,933,1289,0,2840
75,1541,1263,0,2977
109,619,717,0,2653
129,1165,1344,123,4777
137,673,814,28,3049
92,848,1017,72,2822
49,1331,322,0,1755
40,444,344,0,1711
71,309,371,0,2271
116,1036,1178,0,4604
143,670,149,0,5698
176,539,149,0,5328
70,425,52,6,2470
330,1184,301,0,4761
101,415,0,56,3463
86,611,139,32,2568
64,769,616,9,3170
42,431,37,0,3570
