i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999
2230,16,118,49,163,188,45,933
1591,10,39,58,77,346,106,908
2211,109,6,245,149,227,132,664
2818,71,91,440,392,502,207,447
1712,0,38,156,138,134,93,695
4360,18,76,96,257,143,45,1222
1865,0,2,0,23,30,39,825
2546,13,54,12,39,77,86,1121
3197,25,17,93,153,144,22,1309
1942,29,79,28,127,151,72,882
3282,44,232,492,299,308,152,1177
2228,0,60,43,50,142,49,1051
3857,0,101,151,282,252,170,540
1255,23,6,38,27,106,51,463
2722,18,85,197,309,196,122,605
2447,0,54,174,254,208,77,951
696,0,85,119,78,282,131,599
1714,12,63,56,88,129,63,719
3665,15,158,238,183,417,254,1256
1161,14,103,198,178,325,179,979
1178,0,76,31,13,117,13,367
701,6,49,135,148,184,107,502
1659,44,126,122,184,254,130,923
2378,104,361,289,336,250,150,939
2938,12,154,105,165,215,140,933
2207,15,292,443,128,264,112,623
1386,37,40,198,115,214,79,641
2851,29,61,143,358,283,73,1072
3594,0,134,288,380,416,161,1323
2132,43,13,76,102,118,106,1053
3328,29,19,172,189,210,113,1436
1325,18,41,18,53,110,61,431
2317,0,93,66,275,228,81,922
5512,117,849,886,291,481,223,792
4937,55,260,378,788,480,100,342
4276,0,418,474,767,248,98,257
3363,91,406,337,327,318,131,254
3271,14,198,282,346,382,108,417
3780,83,300,615,353,549,203,740
1811,38,328,188,222,253,68,158
2126,8,153,145,241,135,114,739
4318,18,322,481,664,408,168,1233
4272,111,302,393,732,355,251,916
2147,5,19,76,121,169,101,714
4023,63,167,242,339,424,129,1221
1752,49,73,80,187,288,121,696
3085,33,80,221,331,294,258,1604
1265,20,112,136,279,167,123,613
3007,0,86,128,395,133,219,1492
1818,32,19,60,97,146,73,827
3126,0,95,63,169,149,64,1040
1924,45,75,131,198,213,82,602
3144,18,68,61,259,303,101,830
3268,35,49,38,200,169,241,1162
1721,12,27,46,139,91,108,544
4724,9,119,284,155,341,168,1509
986,19,55,75,115,50,84,408
4538,175,408,583,794,321,100,549
1542,10,126,199,128,199,70,511
2886,48,53,106,214,175,130,1059
2218,20,87,266,257,282,124,904
2469,0,52,208,261,259,113,918
2063,13,318,236,174,140,179,464
2928,50,114,337,229,280,111,860
1446,3,55,75,169,255,81,348
2808,0,39,120,104,310,107,877
2867,61,195,99,200,244,158,788
3492,8,56,66,130,96,97,1536
6220,128,296,223,536,240,102,738
2685,48,108,268,198,174,186,733
2049,1,68,77,113,213,116,682
2037,54,52,15,142,56,58,760
2328,20,72,74,148,184,86,707
2374,19,44,181,195,262,97,788
1256,5,64,103,203,127,65,441
3263,32,90,75,112,260,87,940
3559,20,73,155,289,112,74,1103
2369,0,31,88,106,134,66,860
3104,8,28,133,238,225,48,1119
3584,24,53,89,221,196,129,1400
2869,78,36,45,192,184,120,1320
1804,0,22,92,101,159,102,781
2453,19,268,331,246,345,103,696
1549,0,54,44,63,107,59,482
4623,0,219,317,206,166,56,1933
1149,63,87,211,255,273,191,979
3622,15,131,345,554,268,162,736
1756,4,32,25,33,83,37,659
3427,10,90,136,218,151,71,1078
6832,17,52,71,74,131,40,453
1980,11,101,122,130,186,65,521
1924,5,53,41,180,106,80,627
3881,49,63,77,203,175,66,1162
4179,33,18,39,159,288,38,1380
2622,59,193,105,384,380,243,1183
2661,11,372,314,194,197,90,538
2805,36,122,180,303,220,152,958
1730,20,31,27,82,120,33,740
1747,42,142,191,263,238,155,357
2508,0,61,230,370,152,92,822
2446,73,344,336,480,122,211,674
1763,12,85,126,166,91,70,624
2655,109,646,357,277,173,59,496
2316,6,73,134,153,135,76,554
895,29,37,7,61,161,45,466
1563,21,70,114,101,194,70,525
1545,7,16,22,106,74,51,501
1086,4,20,42,39,46,7,400
1518,0,71,36,62,126,48,649
2200,10,311,174,191,116,16,231
3440,28,202,149,396,152,227,733
3206,79,457,298,236,290,149,544
4733,42,234,451,191,84,104,192
1885,10,115,68,151,89,85,271
2330,37,118,80,274,228,103,513
3117,149,193,296,282,224,201,937
1918,14,25,171,119,136,133,569
3262,58,170,506,491,173,71,835
2389,0,55,179,170,115,87,656
4669,300,248,379,459,394,68,731
2024,0,225,214,311,177,153,250
3286,73,388,670,484,157,87,158
4472,43,320,412,499,612,108,875
2406,17,134,79,237,165,65,617
3663,151,375,469,475,226,52,372
3986,87,847,438,454,478,389,1312
3952,9,222,130,306,90,49,654
3782,11,94,114,486,239,122,838
1806,0,41,140,187,127,64,490
2878,0,30,42,79,81,48,1195
2700,0,38,93,81,39,56,1151
1947,9,6,61,54,68,17,799
3034,22,43,149,156,152,130,1495
1835,6,42,19,44,55,16,575
4639,19,77,141,384,382,119,1873
2427,13,36,51,74,99,80,1215
2118,26,147,144,99,116,101,780
2918,55,17,71,109,82,123,1239
1954,60,17,167,48,78,65,847
1606,0,32,17,72,55,25,714
1657,0,14,42,107,47,56,663
4753,27,136,128,252,161,78,1654
3135,0,75,40,25,57,57,1233
3696,17,157,30,196,300,282,1680
3762,51,137,257,205,297,158,1984
4894,0,32,136,516,626,305,1611
2155,44,144,259,338,626,265,1761
3455,41,77,204,368,506,182,1485
855,0,4,18,32,121,75,430
2685,0,86,246,350,318,166,1427
2484,47,102,216,305,185,105,587
1368,40,93,78,253,147,30,28
1782,8,5,12,11,55,12,732
2179,10,0,34,16,68,8,890
3096,12,11,30,99,82,52,1294
3530,12,24,49,77,99,13,1547
1723,3,10,20,50,65,30,719
3337,0,52,53,128,149,74,1452
1941,6,13,54,32,31,36,854
4445,33,31,82,136,91,81,2091
1227,8,13,21,37,100,64,716
4077,29,20,187,487,461,105,1541
1856,0,38,129,157,221,136,880
2767,0,123,83,199,320,175,1427
2557,44,152,275,241,222,245,837
2258,29,77,200,278,221,94,1156
1170,14,23,13,55,42,9,523
2458,32,60,248,159,228,73,674
2041,46,107,99,230,154,110,514
2952,0,0,32,69,77,36,894
3006,31,25,32,94,77,67,1240
2341,18,62,149,104,389,376,1451
1889,39,8,3,86,45,137,544
5247,17,21,56,114,172,0,1772
2784,0,37,49,90,65,36,1146
3828,0,64,68,127,117,41,1557
2031,12,44,63,38,70,64,1013
3385,19,35,165,244,211,108,1578
1822,14,30,108,80,117,72,974
1137,47,10,20,60,81,48,572
1494,6,67,79,215,188,65,985
3053,106,159,288,274,241,115,1006
2169,15,126,145,95,96,107,1084
4254,123,613,352,431,378,160,940
2278,48,408,93,281,233,43,634
2713,34,108,118,163,161,98,777
4034,116,281,495,663,194,225,717
1206,11,0,29,187,155,119,732
1831,0,36,189,202,175,200,1025
2452,27,92,218,88,216,67,611
1768,0,25,88,211,171,77,674
3076,11,69,58,169,195,68,1796
3491,16,48,49,142,162,45,1460
702,0,15,25,59,21,13,312
3655,103,346,517,389,261,100,980
4268,30,78,88,438,275,232,1763
1562,6,8,8,52,23,26,568
2132,8,8,24,34,64,18,994
4179,23,78,55,140,207,143,1431
2866,26,27,79,248,221,160,1189
3980,33,95,115,310,262,35,1455
2951,0,5,116,131,106,109,1397
1744,11,22,67,57,294,155,925
2232,0,158,160,181,249,103,519
1467,11,99,146,74,149,63,394
1920,0,19,99,177,230,132,1192
2062,0,41,62,163,212,220,1546
2612,35,52,126,155,116,277,1448
2843,0,261,309,283,286,121,512
1836,7,35,58,132,359,110,952
1477,5,10,21,42,48,42,647
5156,18,372,321,824,705,412,2421
1697,19,13,70,78,108,75,881
2934,20,49,80,212,160,135,1292
3044,37,29,74,79,274,94,1560
4163,38,184,116,250,330,140,2150
4731,32,18,148,199,187,92,2141
3291,53,246,148,219,353,101,1132
3877,29,325,375,382,207,168,992
1719,13,158,204,200,233,128,576
3921,12,70,104,201,296,73,1818
1151,0,18,54,32,60,28,472
2468,28,11,28,96,86,58,1007
1914,8,53,58,305,164,51,785
3780,7,128,222,566,531,148,931
3748,17,232,336,454,497,217,1048
836,5,37,89,162,171,57,276
4829,20,130,367,405,493,179,1088
1852,42,162,191,195,205,52,852
2716,9,177,279,285,343,76,669
2702,13,144,308,251,465,190,954
2860,17,199,206,348,307,185,681
2404,0,44,68,86,89,91,1065
2086,28,137,153,183,340,157,836
1728,15,60,28,72,55,68,841
4003,13,207,150,298,448,344,1829
4508,5,109,54,109,252,148,1910
3097,35,240,257,408,276,154,695
3645,97,335,265,342,424,96,652
2126,7,111,114,101,322,184,1133
4001,47,131,133,699,663,287,1577
2131,0,155,209,285,344,273,1304
2545,0,140,148,263,420,174,1161
2098,53,50,89,173,115,124,755
1149,14,58,150,361,270,123,414
1697,13,56,96,150,115,118,777
4228,43,94,171,355,465,353,1225
4379,0,43,79,184,192,65,1718
4116,4,110,42,175,228,86,1431
1774,0,15,34,127,99,21,953
4134,17,70,169,102,172,95,1817
2551,0,48,29,88,153,49,1117
2108,13,56,114,116,305,76,648
2427,42,101,184,424,277,207,966
2492,30,63,59,137,171,109,1019
