divorced,married,never,separated,widowed
220,1736,1660,51,75
488,1031,1488,19,109
329,1519,1599,55,241
433,2167,2300,55,13
141,1529,1109,68,119
568,2591,2619,98,341
56,1642,930,18,138
86,2008,1674,20,160
195,2534,2011,8,212
160,1899,1049,24,178
523,2244,2890,146,183
179,1985,1173,53,233
145,2328,2855,13,12
92,906,793,62,116
224,1759,2105,33,133
344,1801,1803,81,136
248,639,1020,22,61
218,1308,1206,14,98
357,2891,2693,0,245
373,1096,1580,27,61
288,782,549,24,152
195,751,839,32,15
292,1172,1836,70,72
280,1991,2280,196,60
234,2175,1910,81,262
256,1709,1982,68,69
237,1032,1365,20,56
274,2046,2339,92,119
310,2612,2957,160,257
328,1686,1355,34,240
319,2687,2294,19,177
70,1024,855,0,108
135,2118,1626,23,80
566,3602,4567,179,237
357,2710,3925,226,122
490,2015,3819,109,105
475,1627,2917,139,69
235,1568,2993,36,186
415,2259,3721,178,50
75,1225,1760,0,6
176,1586,1516,124,259
359,3500,3537,108,108
712,2630,3661,155,174
101,1771,1233,21,226
462,2674,3310,36,126
286,1330,1344,82,204
627,2213,2813,74,179
258,1076,1351,17,13
289,2462,2516,53,140
197,1592,1150,47,86
212,2427,1850,35,182
295,1374,1474,41,86
227,2140,2269,21,127
262,2422,2259,58,161
181,1222,1199,30,56
403,3505,3053,124,224
116,801,766,12,97
230,2833,3905,205,295
124,1265,1239,14,143
345,2243,1835,54,194
463,1515,1908,117,155
358,1884,1838,77,123
359,1696,1336,150,46
297,2314,2079,68,151
138,1049,1166,4,75
165,2288,1752,0,160
309,2213,1907,8,175
220,2756,2294,20,191
369,3433,3282,138,1261
310,2111,1859,51,69
170,1648,1348,17,136
93,1709,1199,81,92
212,1590,1768,27,22
306,1907,1648,41,58
268,754,1177,22,43
362,2242,1961,31,263
163,2796,2259,39,128
167,1863,1489,7,128
263,2522,1949,10,159
188,3169,2129,34,176
163,2635,1906,43,97
156,1685,1156,44,20
367,1872,2039,68,115
132,1074,1094,17,41
496,3397,3106,60,461
366,1171,1611,54,6
467,2259,2857,73,177
119,1522,903,4,81
331,2422,2055,71,302
189,1179,6154,62,86
114,1411,1439,21,131
132,1625,1071,51,137
209,2950,2350,9,158
304,3227,2239,39,325
402,2044,2521,110,92
359,1309,2558,19,132
357,2090,2143,110,76
164,1407,1050,52,110
136,1334,1481,0,184
384,2004,1706,14,127
375,1620,2447,143,101
210,1291,1320,65,51
175,1223,3104,80,190
198,1615,1477,21,136
84,908,654,14,41
233,1209,1019,20,177
191,1177,826,7,121
74,907,562,19,82
172,1129,1079,43,87
97,988,1956,44,164
581,1900,2370,213,263
367,2053,2474,0,365
115,1617,4142,115,42
161,1206,1182,48,77
242,1708,1528,58,147
446,1983,2771,11,188
257,1116,1376,35,301
342,2302,2626,67,229
273,1598,1479,62,239
444,2694,3710,227,173
327,977,1826,86,138
432,1723,2780,271,97
635,2958,3427,82,239
315,1685,1476,108,136
362,1864,3221,192,144
633,3022,3996,234,106
376,1777,2934,143,182
480,2130,2706,182,188
275,965,1183,36,396
99,2512,1577,43,122
133,2228,1728,0,69
84,1615,1165,11,86
358,2469,2083,62,209
103,1371,1011,28,79
367,3499,3494,126,148
160,2085,1507,25,218
86,1713,1472,39,221
331,2176,1896,35,176
186,1573,1318,69,90
128,1280,979,7,127
142,1189,1162,5,88
384,3414,3051,88,252
118,2762,1632,0,110
419,3083,2650,40,166
413,3427,2774,23,214
420,3735,3860,59,46
454,1639,3338,130,31
454,2872,2845,23,124
212,545,734,22,22
479,2108,2507,80,104
447,1682,1691,93,118
52,671,1270,38,6
93,1539,894,15,76
92,1820,1148,18,127
258,2425,1695,58,240
334,2620,2059,47,291
120,1523,799,31,147
143,2706,2176,20,200
198,1423,1123,7,216
184,3600,2620,0,586
86,1086,932,32,50
319,3100,3125,69,294
332,1307,1623,50,105
390,2164,2350,0,190
252,1898,2294,39,90
203,1559,2390,92,69
80,935,728,17,89
332,1544,1944,16,96
215,1457,1512,30,87
171,2156,1488,21,224
144,2518,1709,20,181
449,1875,2269,152,145
377,1097,1087,24,166
124,4195,2657,82,341
77,2419,1600,16,95
190,3340,2119,16,137
80,1752,1443,0,60
204,3021,2311,0,209
201,1724,1246,8,38
223,860,861,21,10
331,1164,1504,54,46
364,2231,2426,92,129
307,1832,1589,43,66
362,2840,3833,83,133
311,1753,1834,71,49
316,1409,2306,36,105
458,2505,3487,99,176
82,1218,1021,55,63
203,1649,1754,25,27
279,1577,1688,86,141
171,1301,1459,19,64
95,3026,2222,24,75
194,2816,2167,53,183
43,674,409,3,18
419,2388,3337,88,119
658,3294,3016,12,192
86,1237,846,13,71
142,1897,1189,11,43
178,3410,2522,38,108
404,1932,2414,19,47
452,2452,3061,74,246
353,2589,1764,13,96
501,1415,1117,98,144
296,1589,1540,59,118
293,792,1216,55,47
364,1529,1604,144,128
389,2007,1658,91,161
568,2161,1803,0,289
440,1556,2400,95,124
430,1421,1415,54,169
61,1311,851,16,53
568,4062,5261,153,185
158,1568,1163,28,24
162,2535,1994,40,151
176,2866,1973,32,144
449,3366,3313,122,121
355,3869,2975,118,231
375,2592,2413,35,128
557,2247,3276,66,209
384,1323,1418,37,69
298,3506,2254,0,437
38,1020,717,17,23
109,2102,1485,18,68
267,1732,1252,8,79
412,2427,3310,86,78
454,2708,3124,149,114
98,626,789,80,40
213,3258,3595,137,308
274,1428,1723,34,92
309,1758,2221,31,235
428,2293,2104,53,149
140,2355,2197,36,75
179,2034,1544,27,63
232,1815,1799,19,55
45,1604,1151,1,66
418,3680,3134,15,45
180,3838,2863,6,208
305,2275,2451,67,64
278,2538,2706,17,317
342,1727,1894,27,108
299,3083,3855,131,170
439,1628,2405,154,75
330,1773,2494,104,150
145,1747,1418,68,79
258,845,1327,32,77
208,1309,1323,46,136
477,2986,3118,126,227
152,3487,2711,54,256
152,3452,2230,46,312
116,1790,1018,6,93
250,3605,2548,18,155
127,2196,1622,18,72
181,1613,1545,29,68
400,2011,2068,25,124
106,2377,1485,8,104
